sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.2,1,line,0.4,data/Exp1/line/scatter/S0.2m0.4.png,,0,0.49,-0.09,0.09,85
0.05,-1,quad,0.4,data/Exp1/quad/scatter/S0.05m-0.4.png,,0,-0.46,0.06,0.06,86
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,0,-0.1,0.2,0.2,88
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,0,-0.25,0.15,0.15,89
0.05,-1,line,0.1,data/Exp1/line/scatter/S0.05m-0.1.png,,0,-0.15,0.05,0.05,90
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,0,0.26,-0.16,0.16,91
0.05,1,quad,0.1,data/Exp1/quad/scatter/S0.05m0.1.png,,0,0.11,-0.01,0.01,92
0.2,-1,trig,0.2,data/Exp1/trig/scatter/S0.2m-0.2.png,,0,0.27,-0.47,0.47,94
0.05,1,trig,0.1,data/Exp1/trig/scatter/S0.05m0.1.png,,0,0.15,-0.05,0.05,95
0.2,-1,quad,0.2,data/Exp1/quad/scatter/S0.2m-0.2.png,,0,-0.73,0.53,0.53,96
0.15,1,quad,0.4,data/Exp1/quad/scatter/S0.15m0.4.png,,0,0.5,-0.1,0.1,97
0.15,1,quad,0.8,data/Exp1/quad/scatter/S0.15m0.8.png,,0,1,-0.2,0.2,98
0.15,-1,trig,0.8,data/Exp1/trig/scatter/S0.15m-0.8.png,,0,-0.87,0.07,0.07,99
0.05,-1,quad,0.1,data/Exp1/quad/scatter/S0.05m-0.1.png,,1,-0.12,0.02,0.02,1
0.1,1,trig,0.8,data/Exp1/trig/scatter/S0.1m0.8.png,,1,0.84,-0.04,0.04,0
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,1,0.48,-0.08,0.08,2
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,1,0.01,0.09,0.09,3
0.05,1,quad,0.4,data/Exp1/quad/scatter/S0.05m0.4.png,,1,0.41,-0.01,0.01,4
0.1,1,line,0.4,data/Exp1/line/scatter/S0.1m0.4.png,,1,0.55,-0.15,0.15,5
0.05,1,quad,0.2,data/Exp1/quad/scatter/S0.05m0.2.png,,1,0.21,-0.01,0.01,6
0.15,-1,trig,0.8,data/Exp1/trig/scatter/S0.15m-0.8.png,,1,-0.84,0.04,0.04,7
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,1,-0.12,0.02,0.02,8
0.15,1,line,0.2,data/Exp1/line/scatter/S0.15m0.2.png,,1,0.22,-0.02,0.02,9
0.2,-1,quad,0.2,data/Exp1/quad/scatter/S0.2m-0.2.png,,1,-0.15,-0.05,0.05,10
0.15,-1,line,0.8,data/Exp1/line/scatter/S0.15m-0.8.png,,1,-0.93,0.13,0.13,11
0.1,1,trig,0.4,data/Exp1/trig/scatter/S0.1m0.4.png,,1,0.53,-0.13,0.13,13
0.05,1,trig,0.2,data/Exp1/trig/scatter/S0.05m0.2.png,,1,0.24,-0.04,0.04,14
0.2,-1,line,0.8,data/Exp1/line/scatter/S0.2m-0.8.png,,1,-0.88,0.08,0.08,15
0.1,1,trig,0.2,data/Exp1/trig/scatter/S0.1m0.2.png,,1,0.33,-0.13,0.13,16
0.15,1,line,0.4,data/Exp1/line/scatter/S0.15m0.4.png,,1,0.44,-0.04,0.04,17
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,1,-0.16,0.06,0.06,18
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,1,0.37,-0.17,0.17,19
0.15,-1,line,0.4,data/Exp1/line/scatter/S0.15m-0.4.png,,1,-0.36,-0.04,0.04,20
0.15,1,line,0.8,data/Exp1/line/scatter/S0.15m0.8.png,,1,0.87,-0.07,0.07,21
0.1,-1,quad,0.8,data/Exp1/quad/scatter/S0.1m-0.8.png,,1,-0.8,0,0,22
0.15,-1,trig,0.2,data/Exp1/trig/scatter/S0.15m-0.2.png,,1,-0.28,0.08,0.08,23
0.15,-1,quad,0.2,data/Exp1/quad/scatter/S0.15m-0.2.png,,1,-0.11,-0.09,0.09,24
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,1,0.67,-0.27,0.27,25
0.1,-1,line,0.4,data/Exp1/line/scatter/S0.1m-0.4.png,,1,-0.42,0.02,0.02,26
0.05,-1,trig,0.4,data/Exp1/trig/scatter/S0.05m-0.4.png,,1,-0.44,0.04,0.04,27
0.05,1,trig,0.4,data/Exp1/trig/scatter/S0.05m0.4.png,,1,0.42,-0.02,0.02,28
0.1,-1,trig,0.2,data/Exp1/trig/scatter/S0.1m-0.2.png,,1,-0.39,0.19,0.19,29
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,1,-0.17,0.07,0.07,30
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,1,0.03,-0.13,0.13,31
0.05,-1,quad,0.4,data/Exp1/quad/scatter/S0.05m-0.4.png,,1,-0.45,0.05,0.05,32
0.1,-1,quad,0.2,data/Exp1/quad/scatter/S0.1m-0.2.png,,1,-0.17,-0.03,0.03,35
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,1,-0.19,-0.01,0.01,34
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,1,0.42,-0.02,0.02,36
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,1,-0.47,0.07,0.07,37
0.05,1,quad,0.8,data/Exp1/quad/scatter/S0.05m0.8.png,,1,0.82,-0.02,0.02,38
0.2,-1,line,0.2,data/Exp1/line/scatter/S0.2m-0.2.png,,1,-0.06,-0.14,0.14,39
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,1,-0.84,0.04,0.04,40
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,1,-0.26,0.06,0.06,41
0.15,1,trig,0.2,data/Exp1/trig/scatter/S0.15m0.2.png,,1,0.21,-0.01,0.01,42
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,1,0.21,-0.01,0.01,43
0.05,1,line,0.1,data/Exp1/line/scatter/S0.05m0.1.png,,1,0.11,-0.01,0.01,44
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,1,-0.86,0.06,0.06,45
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,1,0.88,-0.08,0.08,46
0.2,-1,quad,0.8,data/Exp1/quad/scatter/S0.2m-0.8.png,,1,-0.92,0.12,0.12,47
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,1,-0.73,0.33,0.33,48
0.15,1,quad,0.8,data/Exp1/quad/scatter/S0.15m0.8.png,,1,0.9,-0.1,0.1,49
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,1,0.47,-0.27,0.27,50
0.1,-1,line,0.8,data/Exp1/line/scatter/S0.1m-0.8.png,,1,-0.87,0.07,0.07,51
0.1,-1,line,0.2,data/Exp1/line/scatter/S0.1m-0.2.png,,1,-0.12,-0.08,0.08,52
0.05,-1,line,0.1,data/Exp1/line/scatter/S0.05m-0.1.png,,1,-0.04,-0.06,0.06,53
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,1,-0.05,-0.05,0.05,54
0.1,1,line,0.8,data/Exp1/line/scatter/S0.1m0.8.png,,1,0.98,-0.18,0.18,56
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,1,0.16,-0.06,0.06,57
